"ICD9","ICD9_Desc_x","ICD10","ICD10_Desc_x","APPROX_x","NOMAP_x","COMBO_x","SCENARIO_x","CHOICE_x","ICD9_Desc_y","ICD10_Desc_y","APPROX_y","NOMAP_y","COMBO_y","SCENARIO_y","CHOICE_y"
"201.00","Hdgk prg unsp xtrndl org","C81.70","Other classical Hodgkin lymphoma, unspecified site","1","0","0","0","0","Hdgk prg unsp xtrndl org","Other Hodgkin lymphoma, unspecified site","1","0","0","0","0"
"201.00","Hdgk prg unsp xtrndl org","C81.79","Oth class Hodgkin lymphoma, extrnod and solid organ sites","1","0","0","0","0","Hdgk prg unsp xtrndl org","Other Hodgkin lymphoma, extranodal and solid organ sites","1","0","0","0","0"
"201.01","Hodgkins paragran head","C81.71","Oth class Hodgkin lymphoma, nodes of head, face, and neck","1","0","0","0","0","Hodgkins paragran head","Other Hodgkin lymphoma, lymph nodes of head, face, and neck","1","0","0","0","0"
"201.02","Hodgkins paragran thorax","C81.72","Other classical Hodgkin lymphoma, intrathoracic lymph nodes","1","0","0","0","0","Hodgkins paragran thorax","Other Hodgkin lymphoma, intrathoracic lymph nodes","1","0","0","0","0"
"201.03","Hodgkins paragran abdom","C81.73","Oth classical Hodgkin lymphoma, intra-abdominal lymph nodes","1","0","0","0","0","Hodgkins paragran abdom","Other Hodgkin lymphoma, intra-abdominal lymph nodes","1","0","0","0","0"
"201.04","Hodgkins paragran axilla","C81.74","Oth class Hodgkin lymphoma, nodes of axilla and upper limb","1","0","0","0","0","Hodgkins paragran axilla","Other Hodgkin lymphoma, lymph nodes of axilla and upper limb","1","0","0","0","0"
"201.05","Hodgkins paragran inguin","C81.75","Oth class Hodgkin lymph, nodes of ing region and lower limb","1","0","0","0","0","Hodgkins paragran inguin","Other Hodgkin lymphoma, nodes of ing region and lower limb","1","0","0","0","0"
"201.06","Hodgkins paragran pelvic","C81.76","Other classical Hodgkin lymphoma, intrapelvic lymph nodes","1","0","0","0","0","Hodgkins paragran pelvic","Other Hodgkin lymphoma, intrapelvic lymph nodes","1","0","0","0","0"
"201.07","Hodgkins paragran spleen","C81.77","Other classical Hodgkin lymphoma, spleen","1","0","0","0","0","Hodgkins paragran spleen","Other Hodgkin lymphoma, spleen","1","0","0","0","0"
"201.08","Hodgkins paragran mult","C81.78","Oth classical Hodgkin lymphoma, lymph nodes mult site","1","0","0","0","0","Hodgkins paragran mult","Other Hodgkin lymphoma, lymph nodes of multiple sites","1","0","0","0","0"
"201.10","Hdgk grn unsp xtrndl org","C81.79","Oth class Hodgkin lymphoma, extrnod and solid organ sites","1","0","0","0","0","Hdgk grn unsp xtrndl org","Other Hodgkin lymphoma, extranodal and solid organ sites","1","0","0","0","0"
"201.11","Hodgkins granulom head","C81.71","Oth class Hodgkin lymphoma, nodes of head, face, and neck","1","0","0","0","0","Hodgkins granulom head","Other Hodgkin lymphoma, lymph nodes of head, face, and neck","1","0","0","0","0"
"201.12","Hodgkins granulom thorax","C81.72","Other classical Hodgkin lymphoma, intrathoracic lymph nodes","1","0","0","0","0","Hodgkins granulom thorax","Other Hodgkin lymphoma, intrathoracic lymph nodes","1","0","0","0","0"
"201.13","Hodgkins granulom abdom","C81.73","Oth classical Hodgkin lymphoma, intra-abdominal lymph nodes","1","0","0","0","0","Hodgkins granulom abdom","Other Hodgkin lymphoma, intra-abdominal lymph nodes","1","0","0","0","0"
"201.14","Hodgkins granulom axilla","C81.74","Oth class Hodgkin lymphoma, nodes of axilla and upper limb","1","0","0","0","0","Hodgkins granulom axilla","Other Hodgkin lymphoma, lymph nodes of axilla and upper limb","1","0","0","0","0"
"201.15","Hodgkins granulom inguin","C81.75","Oth class Hodgkin lymph, nodes of ing region and lower limb","1","0","0","0","0","Hodgkins granulom inguin","Other Hodgkin lymphoma, nodes of ing region and lower limb","1","0","0","0","0"
